time,open,high,low,close,MA,MA,Histogram,MACD,Signal
1356134400,13.5,13.57466673,13.02738903,13.47256894,NaN,NaN,-0.0740859654217374,0.29571024607687235,0.36979621149860975
1356220800,13.47142251,13.47204737,12.99021319,13.33175366,NaN,NaN,-0.08132297413236528,0.26814249383315314,0.3494654679655184
1356307200,13.26478148,13.44911368,13.02361845,13.12948561,NaN,NaN,-0.09769019068448104,0.22735272960991715,0.3250429202943982
1356393600,13.35050025,13.42998899,13.01549737,13.38403566,NaN,NaN,-0.08954632845602745,0.2131100097243639,0.30265633818039134
1356480000,13.35001,13.46422289,12.98928922,13.46422289,NaN,NaN,-0.07738964525467817,0.20591928161204365,0.2833089268667218
1356566400,13.32345036,13.46991072,13,13.27940745,NaN,NaN,-0.08009054167915358,0.18319574976777986,0.26328629144693344
1356652800,13.277877,13.59974385,13.08291673,13.39299916,NaN,NaN,-0.07273610599572913,0.17236615895227203,0.24510226494800116
1356739200,13.42183517,13.6158711,13.12,13.33643487,NaN,NaN,-0.07015789272837528,0.15740489903753208,0.22756279176590735
1356825600,13.41200889,13.58993522,13.119948,13.46555802,NaN,NaN,-0.058698434690287044,0.15418974840304855,0.2128881830933356
1356912000,13.5074743,13.56098877,13.14,13.47753576,NaN,NaN,-0.049615269001449774,0.1508690968415234,0.20048436584297316
1356998400,13.52203255,13.56,13.10055308,13.34906392,NaN,NaN,-0.05134775272089914,0.13629967494184925,0.1876474276627484
1357084800,13.32920106,13.399,12.98,13.2096562,NaN,NaN,-0.0603493266945026,0.11221076929462015,0.17256009598912275
1357171200,13.216,13.44840971,13.11577538,13.38310291,NaN,NaN,-0.053331961071081624,0.10589514465027072,0.15922710572135235
1357257600,13.27336455,13.51974845,13,13.36375587,NaN,NaN,-0.04882418874472255,0.09819686979044917,0.14702105853517172
1357344000,13.36447511,13.54689231,13.08693192,13.31650692,NaN,NaN,-0.047795040262131605,0.0872772582075072,0.1350722984696388
1357430400,13.2691165,13.5199,13.06,13.51986778,NaN,NaN,-0.03289790830802802,0.09394991308460376,0.1268478213926318
1357516800,13.51502369,13.58982815,13.04,13.46602954,NaN,NaN,-0.026428389965252513,0.09381233393606614,0.12024072390131865
1357603200,13.49762231,13.87681101,13.27005518,13.79306067,NaN,NaN,-0.001213850346201431,0.11872341096856687,0.1199372613147683
1357689600,13.79996052,13.85288394,13.26,13.76830803,NaN,NaN,0.01198066586563365,0.13491309364681037,0.12293242778117672
